title,goals,movementcluster,time_period,country,location,location_desc,pcs,methods_1,methods_2,methods_3,methods_4,methods_5,methods_6,methods_addl,segment_length,leaders,partners,allies,social_elites,opponents,opp_nvresponses,campaigner_violence,repressive_violence,cluster,classification,group,groups_1,groups_2,groups_3,groups_4,groups_5,groups_6,success_goal,success_survival,success_growth,success_total,success_notes,url
"American colonials struggle against the British Empire, 1765 - 1775","Initially the movement wanted a return the status quo before the French and Indian War, when they were left in “salutary neglect.” The movement did not fully unite behind the goal of independence until after the decade-long nonviolent campaign concluded in favor of the War of Independence and the Declaration in 1776.  

For much of the decade, therefore, the movement demanded representation in Parliament, the repeal of tax and other laws considered repressive, and a lessening of the effectiveness of British rule in the colonies.",,"1765, 1700 to 1775, 1700",['United States'],,The 13 English colonies in what is now the United States. Limited actions (lobbying and letters of support) occurred in British cities,"['An Example of Paradox of Repression', 'Included Innovative Organizational Forms/Communication Forms']","['001. Public speeches', '004. Signed public statements', '006. Group or mass petitions', '015. Group lobbying', '032. Taunting officials', '038. Marches', '044. Mock funerals', '047. Assemblies of protest or support', '055. Social boycott', ""071. Consumers' boycott"", '090. Revenue refusal', '122. Literature and speeches advocating resistance', '126. Boycott of government departments, agencies, and other bodies']","['001. Public speeches', '004. Signed public statements', '006. Group or mass petitions', '015. Group lobbying', '032. Taunting officials', '038. Marches', '047. Assemblies of protest or support', '055. Social boycott', ""071. Consumers' boycott"", '090. Revenue refusal', '122. Literature and speeches advocating resistance', '126. Boycott of government departments, agencies, and other bodies', '179. Alternative social institutions']","['001. Public speeches', '004. Signed public statements', '038. Marches', '047. Assemblies of protest or support', '055. Social boycott', ""071. Consumers' boycott"", '122. Literature and speeches advocating resistance', '126. Boycott of government departments, agencies, and other bodies', '135. Popular nonobedience', '179. Alternative social institutions']","['001. Public speeches', '047. Assemblies of protest or support', '055. Social boycott', ""071. Consumers' boycott"", ""079. Producers' boycott"", ""081. Traders' boycott"", '122. Literature and speeches advocating resistance', '126. Boycott of government departments, agencies, and other bodies', '131. Refusal to accept appointed officials', '135. Popular nonobedience', '179. Alternative social institutions']","['001. Public speeches', '047. Assemblies of protest or support', '055. Social boycott', ""071. Consumers' boycott"", '072. Nonconsumption of boycotted goods', ""079. Producers' boycott"", ""081. Traders' boycott"", '122. Literature and speeches advocating resistance', '126. Boycott of government departments, agencies, and other bodies', '131. Refusal to accept appointed officials', '135. Popular nonobedience', '179. Alternative social institutions']","['001. Public speeches', '047. Assemblies of protest or support', '055. Social boycott', ""071. Consumers' boycott"", '072. Nonconsumption of boycotted goods', ""079. Producers' boycott"", ""081. Traders' boycott"", '122. Literature and speeches advocating resistance', '126. Boycott of government departments, agencies, and other bodies', '131. Refusal to accept appointed officials', '135. Popular nonobedience', '179. Alternative social institutions']",,each segment is about 20 months or.66 years.,"Benjamin Franklin, who used pseudonyms to speak out against the British and lobbied extensively overseas for the colonies.
George Washington, whose distinguished service in the French and Indian War gave him a lot of respect in the colonies
Samuel Adams, Patrick Henry, James Otis, Thomas Paine and other radicals who used pamphlets and meetings to stir up opposition to the British. Henry and Paine were also leaders in their legislatures (Virginia and Massachusetts respectively)
The American independence movement is notable for the fact that no king or dictator ever ran it or resulted from it. Very successful institution building and strong ideological adherence to the idea that no one should be a king ensured this.","Partners are hard to ascertain in this case because the taxes touched nearly every part of American colonial society. While some groups, such as New England merchants, participated initially due to frustration over the Stamp Act, they soon became a leading part of the movement, as evidenced by their involvement in the boycotts against other acts and participation of many Bostonians in the Boston Tea Party.","The colonists excelled at convincing undecided individuals to join their side. For example, merchants in the UK protested the Stamp Act to members of Parliament after the American boycott of British imports squeezed their business. Some members of Parliament believed that forcing the colonies to remain with Great Britain against their will would only drive the colonies to the side of Britain’s enemy, the French. Similarly, some French people helped the colonists either out of idealism or in hopes of eroding British power.","For lawyers and merchants, the Stamp Act was incredibly expensive because it required they pay a tax for every court document or documentation of an import agreement. Many legislatures, which were largely filled with the upper class due to voting restrictions, passed resolutions condemning the various acts and many joined in resistance groups.","The British Empire, its colonial agents, appointed governors of the colonies, Parliament",Repeals of several acts of Parliament following colonists’ opposition and campaigns,"Also very limited, because most colonists still saw the British as fellow countrymen and were aware that violence would alienate their supporters in Parliament and in the colonies and the UK.","Limited (to the credit of the British), but every act of repressive violence enormously benefited the colonists. The most famous incident of repressive violence was the Boston Massacre, during which 5 protestors died after British soldiers fired on a large group of colonists that had been taunting the British and throwing snowballs at them.

British efforts to crack down on the movement tended to be very unsuccessful. As General Thomas Gage realized when asked to put down a protest will military force, “tho a fire from the fort might disperse the mob, it would not quell them.”","['Democracy', 'Economic Justice', 'National-Ethnic Identity']",['Change'],"['Many American colonists', 'at various stages New England merchants', 'frontier colonists', 'and other groups were especially involved at certain points. It should be noted that many American colonists opposed independence']","['a radical organization', 'Moderate colonists who agreed with John Dickinson’s Declaration of Rights and Grievances', 'Some members of parliament', 'Merchants and colonists. The Sons of Liberty']",['Increasing numbers of British merchants hurt by boycott'],,,,,4 out of 6 points,1 out of 1 points,3 out of 3 points,8 out of 10 points,"Substantial unity on the goal of independence was not clear until July 4, 1776 when the Declaration of Independence was signed in Philadelphia. For the period of the nonviolent campaign, the movement's
goals had largely to do with repealing oppressive acts of Parliament and reducing the effectiveness of British rule in the colonies, which arguably succeeded to a fairly high degree.",https://nvdatabase.swarthmore.edu/content/american-colonials-struggle-against-british-empire-1765-1775
U.S. textile workers win campaign in South (J.P. Stevens Boycott) 1963-1983,"to unionize workers in the JP Stevens textile firm 
-to improve working conditions and wages
-to end racial discrimination
-to organize the South and to grow and affect the lives of most workers in the industry",,"Spring, 1963 to October 20, 1983",['United States'],,Southern United States,['Included Participation by More Than One Social Class'],"['009. Leaflets, pamphlets, and books', '038. Marches', '039. Parades', '047. Assemblies of protest or support']","['009. Leaflets, pamphlets, and books', '038. Marches', '039. Parades', '047. Assemblies of protest or support']","['009. Leaflets, pamphlets, and books', '038. Marches', '039. Parades', '047. Assemblies of protest or support']","['009. Leaflets, pamphlets, and books', '038. Marches', '039. Parades', '047. Assemblies of protest or support', ""076. National consumers' boycott""]","['009. Leaflets, pamphlets, and books', '038. Marches', '039. Parades', '047. Assemblies of protest or support', ""076. National consumers' boycott""]","['009. Leaflets, pamphlets, and books', '016. Picketing', '038. Marches', '039. Parades', '047. Assemblies of protest or support', ""076. National consumers' boycott""]",,(The time span was 20 years.  Each segment was about 3 years and 4 months),"Jim Pierce and Harold McIver, leaders of the Industrial Union Dept, AFL-CIO.
-Sol Stetin, leader in TWUA, VP in Amalgamated Clothing and Textile Workers Union (ACTWU)
-Paul Swaity and Richard Rothstein, leaders in ACTWU
-Bruce Raynor, ACTWU southern director
- ACTWU’s president Murray Finley, Secretary-treasurer Jack Sheinkman, vice-presidents Sol Stetin and William DuChessi","Industrial Union Department (IUD), AFL-CIO
-Textile Workers Union of America (TWUA)
-Amalgamated Clothing Workers (ACW)
-On November 30, 1978, “Justice for JP Stevens’ Workers Day”, activities were held in 74 cities across the US.","National Association for the Advancement of Colored People (NAACP)
-Southern Christian Leadership Conference (SCLC)
-Congress of Racial Equality (CORE)
-National Organization for Women (NOW)
-Council of Labor Union Women
-American Jewish Congress
-United Presbyterian Church 
-National Council of Catholic Women","National boycott was endorsed by several U.S. governors, 56 US representatives, and some US senators.","J.P. Stevens textile firm, led by CEO Robert Stevens, and later by Whitney Stevens",,None known.,"firings, coercing, and intimidation of pro-union workers",['Economic Justice'],['Change'],['textile workers'],['Union organizers and workers'],,,['College students (especially Northern colleges) in the mid 1970s'],,,5 out of 6 points,1 out of 1 points,3 out of 3 points,9 out of 10 points,,https://nvdatabase.swarthmore.edu/content/us-textile-workers-win-campaign-south-jp-stevens-boycott-1963-1983
"U.S. groups campaign to legalize abortion, 1969-1973","The campaign aimed to raise awareness of the abortion issue and of women’s reproductive rights. Campaigners aimed to create an environment where legalization of abortion was possible, in order to achieve their ultimate goal—the repeal of abortion laws. Also, the campaign aimed to provide safe and easily accessible reproductive health services to women.",,"May, 1969 to January, 1973",['United States'],,Across the United States,['(Mainly or Initiated by) Women'],"['001. Public speeches', '003. Declarations by organizations and institutions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '038. Marches', '047. Assemblies of protest or support', '048. Protest meetings']","['001. Public speeches', '003. Declarations by organizations and institutions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '038. Marches', '043. Political mourning', '047. Assemblies of protest or support', '048. Protest meetings']","['001. Public speeches', '003. Declarations by organizations and institutions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '038. Marches', '047. Assemblies of protest or support', '048. Protest meetings']","['001. Public speeches', '003. Declarations by organizations and institutions', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '038. Marches', '047. Assemblies of protest or support', '048. Protest meetings']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '038. Marches', '047. Assemblies of protest or support', '048. Protest meetings']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '010. Newspapers and journals', '011. Records, radio, and television', '038. Marches', '047. Assemblies of protest or support', '048. Protest meetings']",['050. Teach-ins'],Approximately 7.5 months,"Lawrence Lader—founder of NARAL
Dr. Lonny Myers—founder of NARAL
Ruth Proskauer Smith—founder of NARAL
Carol Greitzer—first president of NARAL","The Association for the Study of Abortion (ASA)
Planned Parenthood
Clergy Consultation Service (CCS)
Chicago Women’s Liberation Union (CWLU)
National Organization for Women (NOW)
Redstockings
Women’s Liberation Abortion Counseling Service (Jane)
Many other women’s groups, abortion referral services and smaller abortion law repeal groups",Not known,Not known,"The pro-life movement, State governments and the federal government.","The pro-life movement was active in nonviolent protests, organizing rallies, picketing, demonstrations, etc.",None known,None known,['Human Rights'],['Change'],"['Feminists and members of the women’s movement', 'doctors', 'Lawyers']","['Other women’s and proabortion groups', 'Jane', 'Redstockings', 'Planned Parenthood', 'ASA—this association existed before NARAL', 'NOW', 'CWLU', 'CCS']",,,,,,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,"The campaign receives full points for success because it experienced a huge amount of growth and succeeded in raising awareness and support for abortion law repeal. The campaign was an important cause of the success of Roe v. Wade, and so can be said to have helped cause the legalization of abortion. Furthermore, they succeeded in providing safe reproductive health services to women. NARAL survived after the Roe v. Wade court ruling, and still fights to protect women’s reproductive rights to this day",https://nvdatabase.swarthmore.edu/content/us-groups-campaign-legalize-abortion-1969-1973
"University of Pennsylvania students campaign against sweatshop-produced apparel, 1999-2000","The original campaign had a four-part goal: (1) permission of at least one student representative from UPenn to attend the next meeting of the Ivy League task force on sweatshops, as well as future meetings. (2) ""genuinely independent monitors"" who could fairly inspect the manufacturing sites without any ""conflict of interest."" (3) a ""living wage"" for factory employees in every factory that produced official school-logo apparel. (4) ""public disclosure"" of the exact addresses of every factory that produced official school-logo apparel.

However, the goal quickly became to convince the UPenn administration to withdraw membership from the Fair Labor Association (FLA) and join the Workers' Rights Consortium (WRC).",Student Anti-Sweatshop Labor Movement (1990s - 2010s),"February, 1999 to 13 December, 2000",['United States'],"Philadelphia, Pennsylvania",University of Pennsylvania campus,['(Mainly or Initiated by) Student Participants'],"['002. Letters of opposition or support', '003. Declarations by organizations and institutions']","['001. Public speeches', '002. Letters of opposition or support', '007. Slogans, caricatures, and symbols', '008. Banners, posters, and displayed communications', '022. Protest disrobings', '034. Vigils', '035. Humorous skits and pranks', '047. Assemblies of protest or support']","['001. Public speeches', '002. Letters of opposition or support', '003. Declarations by organizations and institutions', '004. Signed public statements', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '015. Group lobbying', '034. Vigils', '035. Humorous skits and pranks', '036. Performances of plays and music', '037. Singing', '038. Marches', '048. Protest meetings', '062. Student strike', '162. Sit-in']","['001. Public speeches', '002. Letters of opposition or support', '006. Group or mass petitions', '008. Banners, posters, and displayed communications', '009. Leaflets, pamphlets, and books', '015. Group lobbying', '037. Singing', '048. Protest meetings', '050. Teach-ins', '159. The fast (fast of moral pressure, hunger strike, satyagrahic fast)', '162. Sit-in']","['002. Letters of opposition or support', '048. Protest meetings']","['002. Letters of opposition or support', '008. Banners, posters, and displayed communications', '022. Protest disrobings', '035. Humorous skits and pranks', '048. Protest meetings']",,Approximately 4 months,"United Students Against Sweatships (USAS) began the movement 
Progressive Activist Network (PAN), and later Penn Students Against Sweatshops (PSAS), carried out the campaign at UPenn. Some of the key Penn student leaders of these were Miriam Joffe-Block ’00, Brian Kelley ’02, and Bryan Hirsh ‘03","Before PSAS was formed in February of 2000, PAN was partner to USAS. After PSAS was formed, USAS was partner to PSAS. 

Jessica Champagne, Yale ’01, was the coordinating committee chair for the various Ivy League USAS chapters.","The AFL-CIO provided a statement of support in December 1999.

City Council of Philadelphia went unanimously on record in support of joining WRC in December 1999, and was the first City Council in the country to make such a statement.

Twenty-four faculty members signed and submitted to President Rodin a letter of support in February 2000.

The Undergraduate Assembly (Vice-Chair Ryan Robinson) as well as the United Minorities Council (Political Chair Archana Jayaram) at Penn, along with twenty-eight other student organizations, offered their support during the sit-in.

Local unions and religious groups brought the students meals and spoke at demonstrations.

Director of the National Labor Committee Charles Kernaghan and Union for Needlework and Textile Employees President Jay Mazur, along with anti-sweatshop groups at over 60 other schools, fasted in sympathy with PSAS during their two-day fast in February 2000.

Representatives from the Jobs With Justice organization based in Washington, D.C.; Georgetown University English Professor and Director of the Program on Justice and Peace Henry Schwarz; Henry Nicholas of Local 1199, a union representing hospital and healthcare workers; representatives from St. Joseph's University and Temple University; the Penn Environmental Group; the Penn's Women's Alliance; local Teamster; and Temple University students

The Association of Women Faculty and Administrators joined the cause on April 7, 2000","Associate General Counsel to the president Eric Tilles met with the group every week for a period of time in 1999.

City Council member David Cohen was very supportive starting in December 1999.

Thomas Wheatley, from the National Labor Committee in New York City, and Treston Faulkner, from the Student Labor Action Project in Washington, D.C., attended the rally in February 2000.

Howard Kunreuther, chairman for the Operations and Information Management Department at Penn was the Committee Chairman for the Ad-Hoc Committee on Sweatshop Labor

Politician Ralph Nadar endorsed PSAS in a speech in March 2000.

Gregory Possehl, Anthropology Department chairman, served as the Committee Chairman for the Committee on Manufacturer Responsibility.","The Fair Labor Association (FLA), an organization that Penn Students Against Sweatshops (PSAS) believed to be corrupt. Administration of University of Pennsylvania",Not known,Not known,Not known,"['Economic Justice', 'Human Rights']",['Change'],['University students'],"['United Students Against Sweatshops members', 'Progressive Activist Network members']",['UPenn wider student community'],"['Penn Students Against Sweatshops', 'City Council of Philadelphia', 'UPenn faculty members', 'Other UPenn student organizations', 'Local unions and religious groups']",,,,3 out of 6 points,1 out of 1 points,3 out of 3 points,7 out of 10 points,"PSAS’s goal was for Penn to withdraw from the FLA and join the WRC. Since Penn ended up remaining a member of the FLA but also joining the WRC, they were half-way successful in meeting their goals.",https://nvdatabase.swarthmore.edu/content/university-pennsylvania-students-campaign-against-sweatshop-produced-apparel-1999-2000
"University of Michigan students campaign against sweatshops, 1999","The students wanted the University of Michigan to help them make companies tell them where their factories were located around the world. After this was accomplished, independent organizations could make sure that the factories treated their employees well and did not operate as sweatshops.",Student Anti-Sweatshop Labor Movement (1990s - 2010s),"March, 1999 to January, 2000",['United States'],"Ann Arbor, Michigan",University of Michigan Campus,['(Mainly or Initiated by) Student Participants'],"['002. Letters of opposition or support', '003. Declarations by organizations and institutions', '010. Newspapers and journals', '015. Group lobbying', '048. Protest meetings', '162. Sit-in']",,"['002. Letters of opposition or support', '003. Declarations by organizations and institutions']",,,,"['002. Letters of opposition or support', '013. Deputations']",Approximately 1.5 months,Students Organizing for Labor and Economic Equality (SOLE),University President Lee C. Bollinger,"United Students Against Sweatshops (USAS), the International Labor Rights Fund, KPMG (a multinational accounting firm), Press for Change",University President Lee C. Bollinger,Apparel companies who owned sweatshops,Not known,None known,None known,"['Economic Justice', 'Human Rights']",['Change'],['Students (the group SOLE)'],"['United Students Against Sweatshops (USAS)', 'University President Lee C. Bollinger']",,['Fair Labor Association'],,"['the International Labor Rights Fund', 'KPMG (a multinational accounting firm)', 'Press for Change']",,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,,https://nvdatabase.swarthmore.edu/content/university-michigan-students-campaign-against-sweatshops-1999
"Yale students campaign for divestment from apartheid South Africa, 1985-1987","Primary: To have Yale University withdraw all of its investments from companies doing business in apartheid South Africa.
Secondary: (Ultimate goal) To put pressure on the South African government to end its system of apartheid.",South Africa Apartheid Divestment Movement (1970s-1980s),1985 to 1987,['United States'],Connecticut,Yale University campus,"['(Mainly or Initiated by) Student Participants', 'An Example of Paradox of Repression']","['034. Vigils', '047. Assemblies of protest or support']",,"['008. Banners, posters, and displayed communications', '019. Wearing of symbols', '026. Paint as protest', '034. Vigils', '047. Assemblies of protest or support']",['162. Sit-in'],,,,6 months,Yale Divestment Campaign (student group),"Students at other American universities, including UCLA and Rutgers, urged their administrations to withdraw university funds from companies operating in South Africa.",Not known,Not known,Yale Administration,Not known,Not known,Students were arrested during their multiple sit-in protests.,"['Economic Justice', 'Human Rights']",['Change'],['students'],['Students'],,"['Faculty', 'Members of New Haven community']",,,,2 out of 6 points,0 out of 1 points,2 out of 3 points,4 out of 10 points,"The student campaign was partially successful in achieving its divestment goals.  The pressure students put on the Yale administration did not immediately result with complete divestment, but their insistence that the administration hold the companies it invested in accountable to the Sullivan Principles (ethical purchasing guidelines) helped lead to Yale’s eventual divestment from 17 companies operating in apartheid South Africa by the early 1990s.

Because student enthusiasm and interest in the campaign declined in1987, the student group “The Yale Divestment Campaign” did not survive. 

The number of Yale and New Haven participants grew considerably during the campaign, but the campaign itself was not sustained for a long period of time",https://nvdatabase.swarthmore.edu/content/yale-students-campaign-divestment-apartheid-south-africa-1985-1987
"African-Americans in Birmingham, Alabama, protest segregation, 1956-1958","To end legal segregation in Birmingham, with a focus on city buses.",U.S. Civil Rights Movement (1950s-1960s),"December 20, 1956 to November, 1958",['United States'],"Birmingham, Alabama",,"['(Mainly or Initiated by) People of Color', 'An Example of Paradox of Repression', 'Local Community or Neighborhood-level Campaign']","['005. Declarations of indictment and intention', '011. Records, radio, and television', '063. Social disobedience', '162. Sit-in', '164. Ride-in']",,"['005. Declarations of indictment and intention', '011. Records, radio, and television', '063. Social disobedience']",,,"['002. Letters of opposition or support', '003. Declarations by organizations and institutions', '011. Records, radio, and television', '047. Assemblies of protest or support', '048. Protest meetings', ""071. Consumers' boycott"", '128. Boycott of government-supported institutions', '164. Ride-in']",['013. Deputations'],4 months,Reverend Fred Shuttlesworth and the Alabama Christian Movement for Human Rights (ACMHR),"The Jefferson County Betterment Association, Reverend Glenn Smiley, and Reverend J.L. Ware","National Association for the Advancement of Colored People, and Reverend Martin Luther King Jr.
Montgomery Improvement Association",Not known,"Birmingham Police, the Birmingham bus company, the Ku Klux Klan, and the Birmingham City Council.",Not known,There were isolated incidents of blacks attacking other blacks who chose to ride the buses despite the boycott.,"On various occasions, black churches were bombed.  Fred Shuttleworth's house was also bombed.  A young African-American was beat and castrated by Ku Klux Klan of the Confederacy members.  A mob attacked Fred Shuttlesworth.  Supporters of the ACMHR were repeatedly arrested.",['Human Rights'],['Change'],['Birmingham African-Americans led by black Birmingham ministers.  Two-thirds of the ACMHR-the main group in the movement-were early-middle-aged women with low incomes.'],"['Alabama Christian Movement for Human Rights', 'National Association for the Advancement of Colored People']",,,,,"['Jefferson County Betterment Association', 'Reverend Martin Luther King Jr.', 'Reverend J.L. Ware', 'Reverend Glenn Smiley', 'Montgomery Improvement Association']",1 out of 6 points,1 out of 1 points,2 out of 3 points,4 out of 10 points,"A court ruling in 1959 upheld the right of the bus company to continue bus segregation, but violating the bus segregation were no longer a crime.",https://nvdatabase.swarthmore.edu/content/african-americans-birmingham-alabama-protest-segregation-1956-1958
"Jacksonville students sit-in for integrated lunch counters, 1960",The goal was to integrate the lunch-counters at downtown department stores.,U.S. Civil Rights Movement (1950s-1960s),"August 13, 1960 to November 5, 1960",['United States'],"Jacksonville, Florida",Downtown area of a city in Northern Florida,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'Local Community or Neighborhood-level Campaign']","['016. Picketing', '162. Sit-in']","['047. Assemblies of protest or support', ""071. Consumers' boycott""]",,,,,"['047. Assemblies of protest or support', ""071. Consumers' boycott"", '162. Sit-in']",2 weeks,"NAACP Youth Council, Youth Council President Rodney Hurst, Youth Council Vice-President Alton Yates, teacher and Youth Council Coordinator Rutledge Pearson",Not known,"White student at a nearby college Richard Parker, attorneys, ministers",Not known,"Mayor Haydon Burns, store owners, local citizens",Not known,"No known campaigner violence from those actually affiliated with the NAACP Youth Council. However, neighborhood gangs intervened on August 27, physically retaliating against the attacks by white racists, and later threatening to defend the African American community using force. This violence was not sanctioned by the leadership of the organization.","Local citizens and members of the Ku Klux Klan and White Citizens Councils from nearby towns used baseball bats, ax handles, and other similar weapons to repress the protestors.",['Human Rights'],['Change'],['local black students'],"['NAACP Youth Council survey', 'attorneys', 'ministers', 'Richard Parker']",,,,,,4 out of 6 points,1 out of 1 points,3 out of 3 points,8 out of 10 points,"The campaign was successful insofar as the lunch counters were eventually integrated, as were many public facilities, and African Americans were allowed to work in jobs previously unavailable to them. However, some suggest that part of the success was due to white fear of violence, not the nonviolent tactics used by the NAACP survey.",https://nvdatabase.swarthmore.edu/content/jacksonville-students-sit-integrated-lunch-counters-1960
"Students protest segregation in Columbia, South Carolina, 1960-1961",Desegregation of Columbia schools and businesses,U.S. Civil Rights Movement (1950s-1960s),"February, 1960 to April, 1961",['United States'],"Columbia, South Carolina",Allen University and Benedict College,"['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'An Example of Paradox of Repression', 'Local Community or Neighborhood-level Campaign']","['001. Public speeches', '007. Slogans, caricatures, and symbols', '038. Marches', '047. Assemblies of protest or support', '063. Social disobedience', '162. Sit-in']","['063. Social disobedience', '162. Sit-in']",,,"['047. Assemblies of protest or support', '162. Sit-in']","['001. Public speeches', '020. Prayer and worship', '037. Singing', '038. Marches', ""071. Consumers' boycott"", '137. Refusal of an assemblage or meeting to disperse']",,2.5 months,"Students at Allen University and Benedict College, especially those involved in the South Carolina Student Movement Association or the Campus Committee for Human Rights.  Leading students included Lennie Glover, David Carter, Major Swinton, and many others.",NAACP,Not known,Not Known,"Local businesses, members of the white community, politicians in favor of continued segregation.",Not Known,"Students attacked a white restaurant in retribution for attacks on Allen University, before students became fully organized into coherent groups.","White youth violently attacked both Allen University and Benedict College's campuses, and there were multiple reports of stabbings of black student leaders.","['Human Rights', 'National-Ethnic Identity']",['Change'],['University students'],"['NAACP', 'South Carolina Student Movement Association']",,,['Student Committee for Human Rights'],,,2 out of 6 points,0.5 out of 1 points,2 out of 3 points,4.5 out of 10 points,"The campaign did not succeed in desegregating South Carolina's schools, but it was able to bring a large amount of attention to the issue of segregation.  The number of activists also grew substantially, to the point where the group's decision to boycott segregated local businesses had serious financial effects.",https://nvdatabase.swarthmore.edu/content/students-protest-segregation-columbia-south-carolina-1960-1961
"Nashville students sit-in for U.S. civil rights, 1960","To integrate eating establishments in Nashville.

To ""push the fight for Negro rights beyond the purely legal area and into the field of what they call moral rights, which they say include the common amenities of life, about which white people scarcely stop to think"" (Taken from “Negroes in Nashville Trained to Maintain Passive Resistance”)",U.S. Civil Rights Movement (1950s-1960s),"13 February, 1960 to May, 1960",['United States'],"Nashville, Tennessee","eating establishments, drug stores, department stores, bus terminals, variety stores","['(Mainly or Initiated by) Student Participants', '(Mainly or Initiated by) People of Color', 'An Example of Paradox of Repression', 'Local Community or Neighborhood-level Campaign']",['162. Sit-in'],['162. Sit-in'],['162. Sit-in'],['162. Sit-in'],"['020. Prayer and worship', '038. Marches', '162. Sit-in']",['162. Sit-in'],"['037. Singing', '047. Assemblies of protest or support', '048. Protest meetings', ""071. Consumers' boycott""]",Approximately 15 days,"Diane Nash, John Lewis, and James M. Lawson, Jr.
Nashville Student Movement","SNCC (Student Nonviolent Coordinationg Committee), NCLC (National Christian Leadership Conference), Z. Alexander Looby",Not known,Not Known,"Nashville store owners, Mayor Ben West",Not known,Not known,"There was one-sided violence from sit-in opponents towards the protestors.  They also bombed the house of Z. Alexander Looby, the defense attorney for the sit-in protesters.","['Human Rights', 'National-Ethnic Identity']",['Change'],['students'],"['Diane Nash', 'John Lewis', 'James M. Lawson Jr.', 'NCLC']",,,,['SNCC'],,6 out of 6 points,1 out of 1 points,3 out of 3 points,10 out of 10 points,"The campaign was successful in the desegregation of lunch counters in Nashville.  They were also able to desegregate other establishments in the city.

The students remained unified throughout the campaign, and other organizations such as SNCC and NCLC not only remained intact, but grew both during and after the campaign.

The campaign started with 40 students in the first sit-in, and grew to over 2,500 supporters by the end of the campaign.",https://nvdatabase.swarthmore.edu/content/nashville-students-sit-us-civil-rights-1960
